date,decided_by,decision,doc,section,still_in_force,superseded_by
2026-09-19,owner,"Corroborate and condense the experiment documents after V2's entries, by CONDENSE_PLAN.md; put on hold the same day at 13:10 until further notice (revived 2026-09-23).",OPERATIONAL_TODO.md,Decided,superseded,CONDENSE_PLAN.md decision 1 of 2026-09-23
2026-09-19,owner,#93 and #94 merged; the enthalpy_increment prototype is on main.,OPERATIONAL_TODO.md,Decided,done,
2026-09-19,owner,Criterion 4 of G1 waits for the updraft gap to be closed before a threshold is set ('Accuracy is highly important. Lets ask that question again after the updraft gap is closed').,OPERATIONAL_TODO.md,Decided,superseded,"Criterion 4's threshold, set on 2026-09-20"
2026-09-19,owner,"Short-term goal: finish G2, then the review's polish; in order g2_v2_sphere_mix, then three small review items and housekeeping; GPU compile dropped; keep token use low.",OPERATIONAL_TODO.md,Decided,done,
2026-09-20,owner,"Criterion 4's threshold set in two parts: (a) one-iteration solve effect at 1h, L1<=1%(region)/10%(source), Linf<=25%; (b) default exchange vs audit copies at 24h, L1<=2%, Linf<=5%. Both met, so G1 is met.",OPERATIONAL_TODO.md,Decided,done,
2026-09-20,owner,"The exchange keeps the parent's face scheme, centred where the parent is centred, matching the audit most closely.",OPERATIONAL_TODO.md,Decided,yes,
2026-09-20,owner,"G2 reports two ten-day runs: g2_v2_sphere_n2 for closure/residual, then a rerun with updraft mixing on for the per-tag numbers matching the merged default.",OPERATIONAL_TODO.md,Decided,done,
2026-09-19,owner,"The way to close the updraft gap: one logical switch between updraft copies of the tags (audit mode) and a zero-sum exchange (default mode), per UPDRAFT_GAP.md 'The chosen way'.",OPERATIONAL_TODO.md,Decided,done,
2026-09-19,owner,"Question 2a, the mixing convention: the hybrid as built -- tracer-like mixing for turbulent exchange, enthalpy flux form for resolved transport and pressure work.",OPERATIONAL_TODO.md,Decided,yes,
2026-09-19,owner,"Question 2b, the offset: keep c=110,495 J/kg for every G1 and G2 run, stated with each per-tag result; U8's temperature-floor rule comes before any run whose surface air could fall below ~228K.",OPERATIONAL_TODO.md,Decided,yes,
2026-09-19,owner,"Question 3, the correction: keep the increment correction as built, moving only the column-local part (logged in e_src_inc_moved), leaving column totals visible in e_src_res and the ledger.",OPERATIONAL_TODO.md,Decided,yes,
2026-09-11,owner,"Production is a GPU sphere in Float32, with EDMF and 1M.",OPERATIONAL_TODO.md,Decided (2026-09-11),yes,
2026-09-11,owner,"EDMF: refuse prognostic_edmfx with energy source tags now (C1a, done in #70); build the sharing later (C1b) under both transports, in the implicit tendency, with a guard in the shared tracer loop (B4).",OPERATIONAL_TODO.md,Decided (2026-09-11),done,
2026-09-14,owner,"The offset (U1) is required whenever energy source tags are set; an explicit 0 keeps today's behaviour; refusal quotes tested values 110,495 J/kg and the smallest positive-making offsets (45.4/100.4 kJ/kg).",OPERATIONAL_TODO.md,Decided (2026-09-14),done,
2026-09-14,owner,"The closure check (U2, R1) is on by default whenever tags are set, daily, reported from a spin-up reference, report-only until V2/V3 calibrate a tolerance per transport.",OPERATIONAL_TODO.md,Decided (2026-09-14),done,
2026-09-14,owner,"The per-process checks (A2, A3): the label check at configuration now; A2's runtime part and A3 (form A online) later, as optional validation features.",OPERATIONAL_TODO.md,Decided (2026-09-14),done (label check); A2 runtime/A3 online still optional/N,
2026-09-14,owner,"S items grouped for delivery: now C5, P1, D2; with B9 U3/U4/R3/T4; with C1b M3/T5; before the GPU T3; with V2 C4/V6; with D1 D3. A4/A5/A7 moved to N.",OPERATIONAL_TODO.md,Decided (2026-09-14),done,
2026-09-14,owner,"Merge #69 and #70; push #72's docs, retarget to main, take it out of draft; open #74.",OPERATIONAL_TODO.md,Decided (2026-09-14),done,
2026-09-14,owner,"Standing approvals so work runs without stopping: up to 8 P4 jobs on hpda2_test (<=2 CPUs, 48G, 2h each); code as draft PRs to main merged only by the owner (#76, #77, C2's guard after #72, C1b after #76+#72); runs at predecessors' settings (C6 10-degree twin, V5 up to 2 jobs, C1b validation up to 5 jobs); pushes as draft PRs.",OPERATIONAL_TODO.md,Decided (2026-09-14),done (used up; superseded by later per-run approvals),
2026-09-14,owner,"Parity with upstream as a boundary condition: with a diagnostic on, every field upstream has stays bit for bit the same; written into AGENTS.md and docs/clima_atmos_specific.md.",OPERATIONAL_TODO.md,Decided (2026-09-14),yes,
2026-09-14,owner,SeasonalSST is removed entirely (#80); transient stratospheric tracer examples use PrescribedSST again.,OPERATIONAL_TODO.md,Decided (2026-09-14),done,
2026-09-14,owner,The binary comparison against an upstream checkout is skipped for now (P6).,OPERATIONAL_TODO.md,Decided (2026-09-14),yes,
2026-09-17,owner,The fragile defect test (decision 13): the convergence check stays on the moist DYCOMS column (a dry column with implicit diffusion never stood above rounding in 64 runs). Merged as #81.,OPERATIONAL_TODO.md,Decided (2026-09-17),done,
2026-09-17,owner,"CI plan: fork-owned groups keep Julia 1.10+1.11, upstream groups run on 1.11 with a manual ci run for 1.10 on upstream-editing PRs; Downstream runs after merges, weekly and on demand; package images built for portable CPU target now; parent_budget group gets a type audit before any split.",OPERATIONAL_TODO.md,Decided (2026-09-17),yes,
2026-09-17,owner,"Aqua: add the missing weak dependency as a test extra first; when the walk stopped at the next package, bound Aqua instead (#86).",OPERATIONAL_TODO.md,Decided (2026-09-17),done,
2026-09-18,owner,#77's three choices (decision 2) accepted as written.,OPERATIONAL_TODO.md,Decided (2026-09-18),done,
2026-09-18,owner,"C2's design (decision 11) approved, minimal: the check also covers process-record fields; the spin-up reference follows #77 (retaken after a restart); no override key; starting tags from a tagless checkpoint is an N item (U7).",OPERATIONAL_TODO.md,Decided (2026-09-18),done,
2026-09-18,owner,The parity break dd06318f (decision 12) stays as a named exception; no upstream PR is opened (the local branch and UPSTREAM_VWB_PR_DRAFT.md stay as a record).,OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,ClimaCore (decision 3): #76 keeps the MatrixFields internals; the drafted ClimaCore issue is not filed.,OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,"The named regions' width (decision 10): 2 degrees stays; docs should say a mask narrower than the grid spacing makes the repair trade, and a 10-degree mask avoids it on coarse grids.",OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,"V1 (decision 5) folded into V2, which becomes a 10-day Float32 run.",OPERATIONAL_TODO.md,Decided (2026-09-18),done,
2026-09-18,owner,"Phase B (decision 7): B1 is approved, one job, at the plan's settings; B1a-c/B2/B3 not approved.",OPERATIONAL_TODO.md,Decided (2026-09-18),"done (B1 ran, E50)",
2026-09-18,owner,Runs (decision 8): V2 and V6 approved to run once C1b is merged; MP1 on two nodes is not approved.,OPERATIONAL_TODO.md,Decided (2026-09-18),done (V2/V6 ran); MP1 multi-node still not approved,
2026-09-18,owner,"B3 (decision 6 / design decision 5): extend the audit to the SGS diffusive flux, as C1c, after C1b (changes the 2026-09-11 decision).",OPERATIONAL_TODO.md,Decided (2026-09-18),superseded,C1c shelved (E59); replaced by the increment prototype
2026-09-18,owner,"2M and P3 (decision 6 / design decision 6): once upstream lifts the model's gate, the tags accept 2M and refuse P3 at configuration until the parent's P3 sedimentation is fixed.",OPERATIONAL_TODO.md,Decided (2026-09-18),waiting_owner (gate still closed),
2026-09-18,owner,"A4 (decision 4): later, as an N item.",OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,D1 (decision 9): scheduled after V2.,OPERATIONAL_TODO.md,Decided (2026-09-18),done (D1 had already run earlier; D3/D1-doc item still open),
2026-09-18,owner,Aqua's walk upstream (item 14): not reported.,OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,One moist model in parent_budget (item 15): no.,OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,#80's NEWS entry: none.,OPERATIONAL_TODO.md,Decided (2026-09-18),yes,
2026-09-18,owner,Worktrees whose branches are merged (17 of them) are removed.,OPERATIONAL_TODO.md,Decided (2026-09-18),done,
2026-09-19,owner,"Standing goal: work toward G1, then continue to G2 once reached; do not go further than G2 without asking; jobs within the goals' context may run without asking each time.",memory: goal-g1-g2.md,n/a,superseded,G2 met 2026-09-22; owner set G3 on 2026-09-23
2026-09-22,owner,G2 is met (FINDINGS E75); the standing approval for G1/G2 ends there.,memory: goal-g1-g2.md,n/a,done,
2026-09-23,owner,"Set G3 (re-scoped same day): water tags under EDMF, operational in production; G4 (energy) follows using G3's learnings.",memory: programme-after-g2.md,n/a,yes,
2026-09-23,owner,"A separate session runs the energy jobs and owns PR #95's fix (worktrees -upd, -upd-run); not reachable through SendMessage, relay findings through the owner.",memory: programme-after-g2.md,n/a,yes,
2026-09-16,owner,"gh repo set-default johannespletzer/ClimaAtmosResiDyn.jl set in the main clone so gh targets the fork, not upstream CliMA/ClimaAtmos.jl.",memory: gh-upstream-remote-default.md,n/a,yes,
