doc,lines,last_commit_date,kind,one_line_summary,current,proposed_home
UPSTREAM_VWB_PR_DRAFT.md,111,2026-09-17,draft,"A local draft upstream PR for the vertical-water-borrowing guard fix (decision 12); not pushed or opened, kept as a named parity exception (dd06318f).",stale,archive/2026-09-23/ (drafts)
PARENT_BUDGET_DEFECT_PR.md,44,2026-09-17,draft,The PR body for the parent-budget solve-defect test fix (decision 13); opened as draft PR #81 and merged.,stale,archive/2026-09-23/ (drafts; PR already merged)
USER_GUIDE_DRAFT.md,444,2026-09-14,draft,"A full user's guide draft for energy source tags and process records: setup, transport choice, reading output, per-process checks, cost, what the output cannot tell you, startup messages, and proposed fixes to existing docs pages.",partly,"archive/2026-09-23/, after a check that #95's energy_source_tags_guide.md covers it (D1 with D3); what it does not cover goes to G4_TODO.md"
CONDENSE_PLAN.md,166,2026-09-23,plan,"This condensation plan itself: owner decisions of 2026-09-23, what H0/H6 have already done, the target structure, safeguards, the H1-H7 steps, and worktree/branch fates for H7.",yes,"archive/2026-09-23/, once the plan is done (per its own header instruction)"
review/pr95_blend_factor_instruction.md,215,2026-09-23,instruction,"Instruction to the PR #95 session: fix ShareDifferences so the partition shares one blend factor and each source tag gets its own (change A, decided), plus a recommended change B, code, tests and validation steps.",yes,"review/ (instructions), unchanged"
review/checks/README.md,12,2026-09-23,instruction,"Index of the small scalar check scripts that support reviews/instructions in review/, and how to run each.",yes,"review/checks/, unchanged"
review/agent_reviews/g3_water_plan_review.md,462,2026-09-23,review,"Independent review of the G3_WATER_PLAN draft: 4 blocking findings (B1-B4), 16 should-fix (S1-S16), 13 notes (N1-N13); verdict 'core sound, not ready as the to-do list' until fixed. All changes folded into the finalised plan.",yes,"review/agent_reviews/, unchanged"
review/agent_reviews/ledger_c0bc637f.md,382,2026-09-19,review,"Review of the enthalpy_increment prototype and its ledger at c0bc637f: 3 blocking (B1-B3), 5 should-fix (S1-S5), 9 nits.",yes,"review/agent_reviews/, unchanged"
review/agent_reviews/pr94_04d63916.md,332,2026-09-19,review,Follow-up review of PR #94 at 04d63916: prior blocking findings fixed and verified; 3 new should-fix items (F1-F3) plus nits; verdict 'nothing blocks the merge'.,yes,"review/agent_reviews/, unchanged"
review/agent_reviews/prototype_35042f33.md,204,2026-09-19,review,"Review of the enthalpy_increment prototype at 35042f33: F1 (bug, high, stages without a solve), F2 (bug, medium, parent-budget ledger crash), F3-F9 risks/checks, and minimal additions for the owner's question 3.",yes,"review/agent_reviews/, unchanged"
review/agent_reviews/updraft_78e19e23.md,377,2026-09-19,review,"Review of the updraft exchange and updraft-copies code at 78e19e23: 1 blocking (CI time), 6 should-fix (S1-S6), 10 nice-to-have; verdict 'not ready as it stands' pending the blocker.",yes,"review/agent_reviews/, unchanged"
review/agent_reviews/updraft_gap_bound/review.md,375,2026-09-19,review,Review of the updraft-gap-bound script and its days-1-3 reading: the formula is sound but not a bound (an initial-rate estimate only); reconstruction mismatch (W1) inflates/deflates several headline numbers; corrected readings given.,yes,"review/agent_reviews/, unchanged"
