claim_id,doc,section,claim,numbers,evidence,status,superseded_by,also_in
E21,FINDINGS.md,2. Energy source tags,"On the column, a region's initial energy only falls.","strat-new_strat integral 5.268e7 -> 5.008e7 J/m2; tropo-new_tropo 6.030e7 -> 5.224e7; sphere reaches -9,617/-11,638 J/kg",C5,live,,
E22,FINDINGS.md,2. Energy source tags,"The radiation tag holds nothing where radiation cools, with the loss running.","rad tag 0.0044 J/kg of a total 61,718 J/kg at 675m, 24h; share 7.1e-8","C5, cloud_top.csv",live,,
E23,FINDINGS.md,2. Energy source tags,The column's records leave 1.37 MJ/m2 of its energy change unexplained over a day.,radiation record -6.62 MJ/m2; surface flux +9.42 MJ/m2 (109 W/m2); records sum +2.80 MJ/m2 vs column rise 1.43 MJ/m2; diff -1.37 MJ/m2,C5,superseded,E26,
E24,FINDINGS.md,2. Energy source tags,"C5's radiation tag outgrows C3's after four hours, which the loss cannot do on the same atmosphere.","1,865 vs 1,873 J/kg@4h; 5,990 vs 4,272 J/kg@22h",C5 against C3,live,,"cause not established, section 7"
E25,FINDINGS.md,2. Energy source tags,"On the column, after its first ten minutes, pressure work is the whole of the residual's growth.","residual moved 72,000 J/m2 over 50 min; pressure work 72,260; transport of residual 421; per-tag limiter 268; everything else 381; sum 72,250; regression slope 1.000 (pressure alone 0.9999)","terrabyte login node, model code f3bbdb7b; output/transport_ledger_column/",live,,
E26,FINDINGS.md,2. Energy source tags,"With its subsidence listed, the column closes per process and per record (C6).","Form A: 60.7 J/kg at 24h (3.8e-4) vs C5's 17,954; Form B: explains to 3.3e-7 J/m2 of 1.43 MJ/m2; unexplained -1,365,477 J/m2 = subsidence's -1,277,826 + rain-out's -87,651","C6, jobs 13385450, 13385451 at f3bbdb7b; analysis/c5_process_closure.jl",live,,
E27,FINDINGS.md,2. Energy source tags,"With the repair on, no tag goes negative on the sphere, and the region tags trade a lot of energy to get there.","region tags' cumulative ledgers reach +/-30,920 J/kg at worst points vs maxima ~220 kJ/kg; without repair region tags reach -9,628/-11,664, sfc -208","C6, jobs 13385452, 13385453",live,,location of large ledgers settled by E46
E28,FINDINGS.md,2. Energy source tags,"On the sphere, the per-process check found the rain-out producing energy.",new-energy split by region exceeds split by process by up to 149 J/kg at 24h (7e-3); microphysics record +270.6 J/kg there,"C6, jobs 13385452-13385454",superseded,E30,
E29,FINDINGS.md,2. Energy source tags,The region tags' negativity does not come from their vertical upwinding.,"first-order: -9,566/-11,588 J/kg vs van Leer -9,628/-11,664","C6, jobs 13385453, 13385454",live,,
E30,FINDINGS.md,2. Energy source tags,"With a microphysics tag, the sphere closes per process (C7).","new-energy split agree to 20.2 J/kg at 24h (9.5e-4) vs C6's 149 (7e-3); mp tag reaches 149 J/kg, microphysics record 270.7","C7, job 13399601 at 414f5f1b",live,,
E31,FINDINGS.md,2. Energy source tags,"On the sphere too, pressure work is nearly all of the residual's growth.",residual moved 4.86e20 J over 5h; pressure work vertical 6.67e20 + horizontal 3.28e20; hyperdiffusion 1.18e19; sum 4.83e20; regression slope 1.005; pressure work >=93% of change,job 13399604 at 6af01228; output/transport_ledger_sphere/,live,,
E32,FINDINGS.md,2. Energy source tags,"Moved with the falling water, the tags follow sedimentation out of the column.","precipitation record -1,327 J/m2 net, 3,772 gross; without transport residual -3,029 J/m2 at 1h; with it +196 J/m2, 15x smaller","terrabyte login node, model code 91b9bb9b; output/sedimentation_smoke/",live,,"the +196 J/m2 remainder is later explained as the loss rule, not the tags' missing Jacobian block (section 6/8)"
E33,FINDINGS.md,2. Energy source tags,"On a 1M column for a day, with sedimentation moving the tags, both per-process checks hold, less tightly than on the 0M column.","Form B: -5.3 J/m2 of 897,043 (6e-6); Form A: 117 J/kg at 24h (7.1e-4) at 75m","C8, job 13401744 at c11d1d3b",superseded,E43,
E34,FINDINGS.md,2. Energy source tags,"Moved as enthalpy, the tags follow their total: the closure residual stops growing, and on the column form A closes to 7e-6 J/kg.","column gross residual J/m2: 166,016->2,695 (1h), 2,442,276->2,284 (24h), tracer vs enthalpy; sphere 1.30e21->2.54e20 (1h), 2.82e21->2.54e20 (24h)","C9, jobs 13402392, 13402393 at 0bfb5037",live,,the sphere-repair prediction built on this entry was falsified by E35
E35,FINDINGS.md,2. Energy source tags,"With the repair on, the audit's sphere keeps its residual, and its form A gets worse, not better.","closure residual 2.5357e20 vs C9's 2.5359e20 at 24h; form A 274 J/kg at 24h (1.5e-2) vs C9's 76.8, C7's 20.2; repair lifted sfc by up to 397 J/kg","C10, job 13403083 at 7dc0a302; analysis/formA_mechanism.jl",erratum,,"corrected 2026-09-11: first quoted form-A-without-repair as 54.9 J/kg; corrected reading is off by up to 22.0 J/kg vs C9, 219 under tracer transport (C6)"
E36,FINDINGS.md,2. Energy source tags,"Under the audit, a negative source tag freezes at its node and sinks faster: the clamp in the audit's transport.","C9's sfc minimum at 43.7N,164.8W,250m: -112,-172,-236,-310,-397 J/kg at 12/15/18/21/24h; 78% of gap's abs sum within 1 grid pt of negative nodes at 24h (39% of points) vs C7's 11%/51%","analysis/formA_mechanism.jl, formA_followup.jl, formA_last.jl",live,,"cause inferred from code, not established (section 7)"
E37,FINDINGS.md,2. Energy source tags,"C7's form-A gap under tracer transport is the per-tag van Leer limiter, with a small part from the loss clamp.","worst-point first-order equivalent -0.044 J/kg vs 20.2; first order removes 99.8% of gap's abs sum at 6h, 97% at 24h; loss clamp ~3% at 24h",same scripts as E36,live,,
E38,FINDINGS.md,2. Energy source tags,Form A's global integral separates a missing process from numerical noise; its largest pointwise gap does not.,largest-gap/gross-integral ratios: C6 no-mp 7.0e-3/1.26e-3; C7 tracer 9.5e-4/5.2e-5; C9 audit 4.1e-3/4.7e-5; C10 audit+repair 1.5e-2/6.0e-4,analysis/formA_followup.jl,live,,
E39,FINDINGS.md,2. Energy source tags,The audit's first-hour residual (E34) and C8's form-B remainder (E33) are the one-iteration Newton increment.,"gross at 1h, J/m2: one iteration 2,695; converged (10 iters) 20.5; no post-Newton correction 2,757; both 13.1; 5s step 2,239. Converging removes 99% on column; sphere 69% of gross in top two levels","reviewer agent, terrabyte login node 2026-09-11; output/newton_lag/",live,,
E39b,FINDINGS.md,2. Energy source tags,"On the sphere, the one Newton iteration makes 83% of the audit's first-hour residual.",gross J at 1h: one iteration 2.5352e20; converged 4.24e19 (17% left),job 13408404 at 78586e39; output/newton_lag/first_hour_sphere_slurm/,live,,
E40,FINDINGS.md,2. Energy source tags,"Under prognostic_edmfx the tags get none of the sub-grid mass flux, and every shipped EDMF configuration fails with tags.","sub-grid mass flux tendency change 11.5 W/m3, partition change exactly zero; sedimentation misses parent by 3.4e-3 of largest value; full EDMF sim did not build in 15 min (cache 108s); on hpda2_test, D4 pair did not finish building in 2h (jobs 13404536, 13404537), reached 6.7GB","design agent, terrabyte login node 2026-09-11; output/subgrid_build_checks/; SUBGRID_AND_MICROPHYSICS_DESIGN.md",live,,
E41,FINDINGS.md,2. Energy source tags,"Falling ice takes sedimentation's upward branch in every cell, and the partition stays closed through it.","79 cloud-ice cells, 69 snow, negative energy down to -193 kJ/kg; sedimentation tendency matches parent to 5.7e-15 (100 eps); stepped 6x at 10s with repair, closes to 1.6e-15; 2M and 2MP3 do not build (model gate)",same agent; output/subgrid_build_checks/,live,,
E42,FINDINGS.md,2. Energy source tags,"Through an hour of falling ice, the column stays closed and tags stay non-negative; what the upward branch moved cannot be told apart from vertical diffusion.","signed residual 0.29 J/m2 of 6.37e8 (4.5e-10); gross 1.12e6 J/m2 after 1st min, 2.37e6 at 1h (3.7e-3); 42% of gross growth in ice layers; lower rises above 5.6km from 13,969 to 53,245 J/m2","D1, job 13404535 at 78586e39; output/d1_column_1m_ice/",superseded,E42b,the vertical-diffusion-causation inference is falsified by E42b
E42b,FINDINGS.md,2. Energy source tags,"Without vertical diffusion, the upward branch lifts about a fifth of what D1's lower gained above its boundary; the gross residual is unchanged, so vertical diffusion does not make it.","lower-above-5.6km rise: D1 39,276 vs twin 7,879 J/m2; gross residual after 1st min 1.118e6 vs 1.119e6; at 1h 2.370e6 vs 2.350e6; signed 0.286 both","D1's twin, job 13412243 at cf1e9c7c; output/d1_column_1m_ice_no_vdiff/",live,,
E43,FINDINGS.md,2. Energy source tags,"On the 1M column over a day, the audit keeps form A below 4.4e-7 J/kg, and a converged Newton solve takes form B to -3.8e-3 J/m2.","gross residual/formB/formA(J/m2,J/m2,J/kg) at end: tracer 1-iter 177,377/-0.80/7.9e-3; tracer converged 177,342/-1.8e-4/7.9e-3; enthalpy 1-iter(24h) 193/-5.29/4.3e-7; enthalpy converged 12.0/-3.8e-3/2.8e-7",job 13408403 at 78586e39; output/newton_lag/c8_variants_slurm/,live,,
E44,FINDINGS.md,2. Energy source tags,"With the tags, the EDMF column does not build in two hours. Without them it builds in 410 s.","D4 pair not finished in 2h, no output; d4_column_edmf_notags 410s (cache 129s, tendency 228s, integrator 53s), 18.5 min total; >17x slower","jobs 13404536, 13404537 at 78586e39, 13414334 at 41adabc5; output/d4_column_edmf_notags/",live,,blocks P4 in OPERATIONAL_TODO.md; fixed by E44e (#76)
E44b,FINDINGS.md,2. Energy source tags,"The EDMF build grows faster than the number of fields the tags and records add, and the tags with the records alone take it past two hours.","notags 410s/18.5min; 2 tags 572s/27min; 8 tags 876s/60min; 8 tags+5 records not reached/>120min stopped; 2 fields add 8.5min, 8 add 42, 13 add >100","jobs 13415603-13415605 at edd44e1d; output/p4_edmf_two_tags/, p4_edmf_tags/",live,,
E44c,FINDINGS.md,2. Energy source tags,"The EDMF build's growth with the tags is nearly all in building the simulation, and most of it is compiled before the driver's first timer starts.","get_simulation 712.2/916.3/2603.6s (0/2/8 tags); not-logged 277/400/1805s; growth 204s (2 tags), 1891s (8 tags); once built, steps 13.8/13.7/14.7ms","jobs 13440706, 13440707, 13440637 at edd44e1d; output/p4_build_stages/",superseded,E44d,tag-recursion candidate cause falsified by E44d
E44d,FINDINGS.md,2. Energy source tags,The growth is ClimaCore building the implicit Jacobian's solver: its compile-time work on the state's field names grows much faster than their number.,"inference grows 1,889s (EDMF, 0->8 tags), 87s (0M); FieldMatrixWithSolver 14.1s(13 blocks)->89.2s(21 blocks); == on tuples of field names 88,597->412,854 specializations; BlockLowerTriangularSolve prototype still took 95.2s; over coupled fields alone 13.6s with 8 tags",jobs 13441219-13441221 at edd44e1d; output/p4_inference_profile/,live,,
E44e,FINDINGS.md,2. Energy source tags,"With the tags and records solved apart (#76's SplitJacobianSolver), the EDMF column with 8 tags and 5 records builds in 21 minutes, and the tags add 37s to its build.","get_simulation: no tags 712.2s; 8 tags before 2603.6s, with #76 748.8s; 8 tags+5 records 757.1s; whole script 1142/3120/1239/1257s","at a55d15ce; jobs 13441606, 13441607; output/p4_fix_validation/",live,,unblocks E44/E44b
E45,FINDINGS.md,2. Energy source tags,"In Float32, C7's sphere closes as it does in Float64, to the last place the Float32 integrals hold.",at 24h: closure residual -2.8227e19 vs -2.8247e19; gross_relative 5.8893e-3 vs 5.8892e-3; form A 20.2127 vs 20.2146; solve! wall 448.0 vs 444.4s,"V3, job 13440822 at 297eda4c, vs C7 job 13399601; output/v3_sphere_float32/",live,,settles W4's sphere open question
E46,FINDINGS.md,2. Energy source tags,"The repair's large trades sit just beyond the edge where the two region tags meet, and each tag is lifted only on the other's side.","extremes +/-30,915 J/kg (tracer) at 2nd rows, top level 26.9km; +/-16,294 J/kg (audit) at 11km","C6, jobs 13385452, 13385453; C9/C10, jobs 13402393, 13403083; analysis/repair_trades.jl; output/repair_trades/",live,,
E47,FINDINGS.md,2. Energy source tags,"On 4 MPI ranks, C7's sphere closes as it does on one process, to rounding.","largest relative diff after t0: 2.1e-14 (audit), 9.2e-13 (formA), 9.3e-13 (tag extrema), 2.5e-13 (record extrema), 7.7e-11 (closure residual@1h); ta differs by <=1.6e-12K; 3.8x faster (117.4s vs 448.0s)","MP1, job 13440991 at c2842ba6; output/mp1_sphere_4ranks/",live,,
E48,FINDINGS.md,2. Energy source tags,"With the region masks 10 degrees wide, the repair never trades between the region tags: the step of the 2-degree mask makes all of E46's trades.","e_src_fix_tropics extremes +/-30,915 (2deg) vs 0 (10deg); region ledger gross ratio 1 vs 0; closure residual -4.074e19 vs -4.087e19 J; formA 148.781 both",job 13441633 at f399b9f8; output/c6_sphere_wide_mask/,live,,
E49,FINDINGS.md,2. Energy source tags,"Summed over levels and over columns, form A's gap shows which way a transport error moved. A process that no tag follows, and the repair, keep most of their sum.",kept-overall fractions: C7 tracer 0.035; C9 audit 0.041; C10 audit+repair 0.23; C6 sphere no-repair 0.46; C5 column 0M 1.00; C8 column 1M 0.011,login node; analysis/c5_process_closure.jl; output/a7_gap_cancellation/,live,,
E50,FINDINGS.md,2. Energy source tags,"The energy tags on a moist baroclinic wave with vertical diffusion miss rho*e_tot by 7% of its gross after ten days, and pointwise by 7% of the largest |e_tot| after a week.","relative 3.63e-5(d1)->1.04e-3(d10); gross_relative 0.0120(d1)->0.0698(d10); max|e_tag_res| 4,093->17,278 J/kg; over max|e_tot| 0.037->0.159","B1, job 13501290, main at 38661891, branch 58d9b0c8; output/b1_base/",live,,
E51,FINDINGS.md,2. Energy source tags,"With no diagnostic on, the fork after the merge of upstream v0.42.11 gives upstream's results bit for bit, and so does C1b against main.","#89: fork d83ffcc3 vs upstream d331fe30, all three configs bit for bit; C1b: main 38661891 vs C1b fe69cd06, two columns bit for bit","job 13503291, hpda2_test node hpdar03c01s11, 2026-09-18; output/parity_89_d331fe3/, parity_c1b_main/",live,,
E52,FINDINGS.md,2. Energy source tags,"With no diagnostic on, the fork builds the EDMF column in 635s where upstream takes 249s; the difference is in building the tendency function.",built cache 150.1/150.9s; built tendency function 396.7/21.8s; initialized integrator 88.0/76.2s; 1M column tendency 22.4 vs 7.0s,same job/logs as E51,erratum,E56,
E53,FINDINGS.md,2. Energy source tags,"With C1b, the EDMF columns run with tags. The gross residual is zero-sum and stays near half a percent, and the records close the column's budget.","d4_column_edmf(tracer): relative 9.2e-5, gross_residual 6.71e5 J/m2, gross_relative 5.9e-3; enthalpy 3.7e-4/5.41e5/4.7e-3; vd 4.5e-4/6.83e5/6.0e-3; d5 ice(6h) -8.2e-7/2.76e6/3.1e-3","jobs 13503558-13503561, worktree c1b-val at fe69cd06; output/d4_column_edmf*, d5_column_edmf_ice/",live,,
E54,FINDINGS.md,2. Energy source tags,"A restart carries the tags and the records exactly, but the model itself does not restart this column bit for bit, even with reproducible_restart: true.","at 24h: rho differs 1.5e-10, u_h 2e-11, rho*e_tot 1.7e-9, rho*q_tot 8e-10, u_3 3e-9; tags 4e-11 to 1.4e-8; closure continues to 4e-9 residual / 8e-10 gross","jobs 13503985, 13503986, worktree c2-val at e4e9e5b3; output/v5_c5_continuous/, v5_c5_restarted/",live,,
E55,FINDINGS.md,2. Energy source tags,"In Float32, C1b's EDMF column keeps the size of the Float64 residual over the day, but the residual tilts toward overclaiming.",gross_relative 6.93e-3 vs 5.98e-3 at 24h; means 4.68e-3/4.80e-3; F64 overclaimed/untagged 0.73-0.99 (mean 0.85); F32 0.91-1.14 (mean 1.02); form B misses 56 J/m2 of 8.8e5 vs 1.4/9.3e5,"job 13503987, worktree c1b-val at 9dd30a90; output/d4_column_edmf_vd_float32/",live,,
E56,FINDINGS.md,2. Energy source tags,The fork does not build the EDMF column more slowly than upstream. E52's gap is where the compile is counted.,"get_simulation 788/834s upstream (2 runs) vs 823s fork; get_jacobian 400s upstream vs 406s fork; without-tags fix: block 22.4s, matching upstream","login node, one core, 2026-09-18; $SCRATCH/claude_work/p7/",live,,
E57,FINDINGS.md,2. Energy source tags,#89's fork is bit for bit upstream on a restart and under the vertical water borrowing limiter. The prescribed-flow column does not run upstream.,restart 2-stage bit for bit; 1M column with vertical_water_borrowing bit for bit; Shipway-Hill column fails in both checkouts at first step (upstream bug in ShipwayHill2012VelocityProfile),job 13504311 at c068d564 vs upstream d331fe30; output/parity_89_r2/,live,,
E58,FINDINGS.md,2. Energy source tags,The model itself does not restart C5's column bit for bit; the tags change nothing across a restart.,"without tags: rho 1.758e-10, rho*e_tot 1.604e-4, u_3 1.543e-11 at 24h -- same numbers as E54","jobs 13504312, 13504313, worktree c2-val at e4e9e5b3; output/v5_c5_continuous_notags/, v5_c5_restarted_notags/",live,,
E59,FINDINGS.md,2. Energy source tags,"C1c, as built, makes the EDMF column's residual under the enthalpy audit larger, in all three placements.",gross residual J/m2 @1/4/12/24h: base 1.68e5/3.27e5/4.61e5/6.32e5 (5.5e-3); opt1 1.98e5/9.29e5/3.25e6/6.71e6 (5.9e-2); opt2 5.05e4/2.26e5/6.49e5/1.18e6 (1.0e-2); opt3 5.67e4/2.52e5/7.90e5/1.46e6 (1.3e-2),"jobs 13504651-13504654, main at 50b2a4d2, C1c at 9aeb5205; output/c1c_*_d4_enthalpy/",live,,C1c is not to be opened as a PR in this form; most of the drift is the implicit timing gap (E61)
E60,FINDINGS.md,2. Energy source tags,"The tags' mislabelled energy is flushed only as fast as it is lost, often slowly, and the one-day plateau is mixing, not the rule; over long runs the error can keep growing and the column integral hides most of it.","D4 flush rate 0.05-0.26/day (4-20 days); C9 sphere 91% of |R| above 10km, rate 0.0013-0.0025/day (1-2 yrs); B1 0.43% day1, 0.97% day7, 2.5% day10 of sphere's E",analysis/displacement_check/; output/displacement_check/,live,,
E61,FINDINGS.md,2. Energy source tags,"Most of C1c's drift is the implicit timing gap: with a converged Newton solve, option 1's residual at 12h is 14 times smaller.",gross residual J/m2 @1/4/8/12h: base 1.68e5/3.27e5/3.20e5/4.61e5; opt1 1-iter 1.98e5/9.29e5/2.00e6/3.25e6; opt1 converged 4.51e4/8.49e4/1.66e5/2.32e5,job 13504771 at 9aeb5205; output/c1c_opt1_newton_d4_enthalpy/,live,,
E62,FINDINGS.md,2. Energy source tags,"Following the parent's increment closes the EDMF column: 267 J/m2 at 24h against 6.32e5, with the model bit for bit.",gross residual J/m2 @1/4/12/24h: base(enthalpy) 1.68e5/3.27e5/4.61e5/6.32e5 (5.5e-3); prototype(enthalpy_increment) 92.8/112/192/267 (2.4e-6); 37x below the target 1e4,job 13504818 at 35042f33; output/inc_d4_enthalpy_increment/,live,,G1 criterion 1 met
E63,FINDINGS.md,2. Energy source tags,"On a sphere the process records were advected with the air (bug, fixed).",up to 2.6 J/m3/s tendency on smallest test sphere before fix; exactly zero after fix,"jobs 13504847 (fixed), 13504848 (prototype); analysis/increment/sphere_record_advection.jl",live,,fix is draft PR #93; must merge before V2
E64,FINDINGS.md,2. Energy source tags,"The prototype's remainder on D4 is the one-iteration solve's column totals, less what the loss rule flushes. No process the tags miss shows above 1 J/m2.",residual 266.942 J/m2 at 24h; converged (10 iters) residual 0.080 J/m2; column-total part 313 J/m2 gross / -45.5 signed at 24h; loss-rule flushing +44 J/m2,"jobs 13504889 (g1_inc_d4), 13504890 (g1_inc_newton_d4) at c0bc637f; output/g1_inc_d4/, g1_inc_newton_d4/",live,,G1 criterion 2 met
E65,FINDINGS.md,2. Energy source tags,"In Float32 the prototype closes D4 to 607 J/m2, 2.3 times its Float64 residual, with the model bit for bit.","gross residual J/m2 @1/4/12/24h: base(F32) 1.68e5/3.12e5/5.19e5/7.53e5; prototype(F32) 120/222/439/607; prototype(F64,E62) 92.8/112/192/267; within 10x threshold (2,670)","jobs 13504891 (c0bc637f), 13504828 (main at 50b2a4d2); output/g1_inc_d4_float32/, g1_base_d4_float32/",live,,G1 criterion 5 met
